originalTitle,features
Le dîner de cons,"Comedy, nm0508293, nm0891554"
Le fabuleux destin d'Amélie Poulain,"Comedy,Romance, nm0440913, nm0000466"
Le fantôme de la liberté,"Comedy, nm0108400, nm0000320"
Le feu follet,"Drama, nm0740067, nm0001501"
Le fils,"Drama,Mystery, nm0332709, nm0201094"
Le genou de Claire,"Drama,Romance, nm0108400, nm0006445"
Le grand bleu,"Adventure,Drama,Sport, nm0000852, nm0000108"
Le huitième jour,"Comedy,Drama, nm0000809, nm0233757"
Le jour se lève,"Crime,Drama,Romance, nm0300064, nm0138893"
Le locataire,"Drama,Thriller, nm0000591"
Le mépris,"Drama,Romance, nm0001588, nm0000419"
Le notti bianche,"Drama,Romance, nm0000052, nm0899581"
Le notti di Cabiria,"Drama, nm0673749, nm0000019"
Le passé,"Drama,Mystery, nm2588665, nm1410815"
Le peuple migrateur,"Documentary, nm0674742, nm0167384"
Le premier jour du reste de ta vie,"Drama, nm0303826, nm1462495"
Le procès,"Drama,Mystery,Thriller, nm0000578, nm0000080"
Le père Noël est une ordure,"Comedy, nm0002010, nm0688585"
Le quai des brumes,"Crime,Drama,Romance, nm0300064, nm0138893"
Le rayon vert,"Drama,Romance, nm0310327, nm0006445"
Le salaire de la peur,"Adventure,Drama,Thriller, nm0598971, nm0167241"
Le scaphandre et le papillon,"Biography,Drama, nm0023832, nm0773603"
Le sommet des dieux,"Adventure,Animation,Drama, nm3309177, nm1348707"
Le souffle au coeur,"Comedy,Drama, nm0274731, nm0001501"
Le trou,"Crime,Drama,Thriller, nm0078514, nm0065442"
Le violon rouge,"Drama,Music,Mystery, nm0147605, nm0320660"
Leave Her to Heaven,"Drama,Film-Noir,Romance, nm0664273, nm0821472"
Leaving Las Vegas,"Drama,Romance, nm0000115, nm0001214"
Led Zeppelin: Celebration Day,"Documentary,Music, nm1006692"
Legends of the Fall,"Drama,Romance,War, nm0000093, nm0001880"
Lektionen in Finsternis,"Documentary,War, nm0001348"
Lemmy,"Biography,Documentary,Music, nm1261206"
Lenny,"Biography,Drama, nm0000163, nm0002080"
Lepa sela lepo gore,"Comedy,Drama,History, nm0081449, nm0236729"
Les 12 travaux d'Astérix,"Adventure,Animation,Comedy, nm0136789, nm0331453"
Les Misérables,"Drama,Musical,Romance, nm0413168, nm0393799"
Les Misérables in Concert: The 25th Anniversary,"Drama,Music,Musical, nm2443286, nm0606835"
Les amants du Pont-Neuf,"Drama,Romance, nm0491777, nm0136021"
Les choristes,"Comedy,Drama,Music, nm0432040, nm0056725"
Les demoiselles de Rochefort,"Comedy,Drama,Musical, nm0001995, nm0218840"
Les diaboliques,"Crime,Drama,Horror, nm0582890, nm0167241"
Les enfants du paradis,"Drama,Romance, nm0056761, nm0138893"
Les invasions barbares,"Comedy,Crime,Drama, nm0320721, nm0000780"
Les misérables,"Crime,Drama,Thriller, nm4044784, nm1868177"
Les parapluies de Cherbourg,"Drama,Musical,Romance, nm0144875, nm0218840"
Les quatre cents coups,"Crime,Drama, nm0529543, nm0000076"
Les tontons flingueurs,"Action,Comedy,Crime, nm0893341, nm0491626"
Les triplettes de Belleville,"Adventure,Animation,Comedy, nm0232357, nm0158984"
Les yeux sans visage,"Drama,Horror, nm0105482, nm0290802"
Let It Be,"Documentary,Music, nm0512327"
Lethal Weapon,"Action,Crime,Thriller, nm0000154, nm0001149"
Letter from an Unknown Woman,"Drama,Romance, nm0431139, nm0649097"
Letters from Iwo Jima,"Action,Adventure,Drama, nm0913822, nm0000142"
Letyat zhuravli,"Drama,Romance,War, nm0060692, nm0435563"
Leviafan,"Crime,Drama, nm0148516, nm1168657"
Libeled Lady,"Comedy,Romance, nm0001635, nm0176699"
Life Begins Now,"Drama,Romance, nm7137369, nm7929149"
Life Itself,"Biography,Documentary, nm0416945"
Life as a House,"Drama, nm0159789, nm0005563"
Life in a Day,"Documentary,Drama, nm9546825"
Life of Brian,"Comedy, nm0001037, nm0001402"
Life of Pi,"Adventure,Drama,Fantasy, nm4139037, nm0000487"
Lifeboat,"Drama,War, nm0388303, nm0000033"
Lilies of the Field,"Drama, nm0001627, nm0625680"
Lilja 4-ever,"Crime,Drama, nm1076060, nm0600546"
Limelight,"Drama,Music,Romance, nm0000122"
Limuzins Janu nakts krasa,"Comedy,Drama, nm0241738, nm0834168"
Lion,"Biography,Drama, nm2353862, nm0204628"
Lion of the Desert,"Biography,Drama,History, nm0000063, nm0002160"
Lisbela e o Prisioneiro,"Comedy,Romance, nm0560412, nm0037136"
Listen to Me Marlon,"Biography,Documentary, nm2788786, nm2257147"
Little Big Man,"Adventure,Comedy,Drama, nm0000163, nm0671957"
Little Children,"Drama,Romance, nm0933940, nm0276062"
Little Miss Sunshine,"Comedy,Drama, nm0136797, nm0206760"
Little Women,"Drama,Romance, nm1950086"
Living in Oblivion,"Comedy,Drama, nm0000114, nm0001139"
"Liza, a rókatündér","Comedy,Fantasy,Romance, nm1039405, nm1902132"
Lo imposible,"Adventure,Drama,History, nm0000191, nm1291105"
"Lock, Stock and Two Smoking Barrels","Action,Comedy,Crime, nm0002076, nm0005363"
Logan,"Action,Drama,Sci-Fi, nm0413168, nm0003506"
Lola,"Drama,Romance, nm0584879, nm0218840"
Lola rennt,"Action,Crime,Thriller, nm0001953, nm0878756"
Lolita,"Crime,Drama,Romance, nm0000051, nm0000040"
Lone Survivor,"Action,Biography,Drama, nm0000242, nm0000916"
Lonely Are the Brave,"Drama,Western, nm0000018, nm0588183"
Lootcase,"Comedy,Crime, nm0447240, nm8392933"
Lord of War,"Crime,Drama, nm0000115, nm0629272"
Los amantes del Círculo Polar,"Drama,Mystery,Romance, nm0555093, nm0575523"
Los lunes al sol,"Comedy,Drama, nm0000849, nm0508208"
Los olvidados,"Crime,Drama, nm0577219, nm0000320"
Lost Highway,"Mystery,Thriller, nm0000597, nm0000186"
Lost Horizon,"Adventure,Drama,Fantasy, nm0172903, nm0001008"
Lost in Translation,"Comedy,Drama, nm0000195, nm0001068"
Love Actually,"Comedy,Drama,Romance, nm0000424, nm0193485"
Love Letter,"Drama,Romance, nm0870317, nm0412517"
Love Streams,"Drama, nm0001023"
Love Today,"Comedy,Drama,Romance, nm10869704"
Love Today,"Drama,Romance, nm0897201, nm2569785"
Love and Death,"Comedy,War, nm0000095"
Love on a Leash,"Comedy,Drama,Fantasy, nm0043933, nm0862504"
"Love, Simon","Comedy,Drama,Romance, nm3538718, nm0075528"
Loving Vincent,"Animation,Drama,Mystery, nm3150488, nm3699790"
Lucia,"Drama,Sci-Fi,Thriller, nm4401889, nm5237694"
Lucifer,"Action,Crime,Drama, nm0482320, nm1335387"
Lucky Number Slevin,"Crime,Drama,Thriller, nm0001326, nm0006476"
Ludo,"Action,Comedy,Crime, nm2690647, nm1397301"
Lásky jedné plavovlásky,"Comedy,Drama,Romance, nm0699812, nm0001232"
Låt den rätte komma in,"Drama,Fantasy,Horror, nm2968765, nm0019247"
Léon,"Action,Crime,Drama, nm0000606, nm0000108"
M - Eine Stadt sucht einen Mörder,"Crime,Mystery,Thriller, nm0000048, nm0000485"
M.S. Dhoni: The Untold Story,"Biography,Drama,Sport, nm3818286, nm14112827"
Ma nuit chez Maud,"Comedy,Drama,Romance, nm0004462, nm0006445"
Ma vie de Courgette,"Animation,Comedy,Drama, nm8101777, nm1957706"
Ma vie en rose,"Drama, nm0238878, nm0075626"
Maanaadu,"Action,Adventure,Sci-Fi, nm1167656, nm1862815"
Maanagaram,"Action,Thriller, nm3807965, nm7992231"
Maboroshi no hikari,"Drama, nm0619822, nm0466153"
Machuca,"Biography,Drama,History, nm1437164, nm0939540"
Macskafogó,"Adventure,Animation,Comedy, nm0070672, nm0855681"
Mad Max 2,"Action,Adventure,Sci-Fi, nm0000154, nm0004306"
Mad Max: Fury Road,"Action,Adventure,Sci-Fi, nm0362766, nm0004306"
Madaari,"Drama,Thriller, nm0451234, nm1723225"
Madame de...,"Drama,Romance, nm0000964, nm0649097"
Madeo,"Crime,Drama,Mystery, nm1047193, nm0094435"
Madhi,"Musical, nm11245877, nm13721366"
Madras Cafe,"Action,Drama,Thriller, nm1303433, nm1999473"
Magadheera,"Action,Drama,Fantasy, nm2776304, nm1442514"
Maghzhaye Koochake Zang Zadeh,"Crime,Drama,Thriller, nm5457207, nm1982933"
Magnolia,"Drama, nm0000129, nm0000759"
Mahaan,"Action,Drama,Thriller, nm1417314, nm5366274"
Mahanadhi,"Crime,Drama, nm0352032, nm0080248"
Mahanati,"Biography,Drama, nm4921260, nm5645455"
Maheshinte Prathikaaram,"Comedy,Drama,Thriller, nm1335704, nm4584004"
Mai wei,"Action,Drama,War, nm0417520, nm0437625"
Majo no takkyûbin,"Animation,Family,Fantasy, nm0945322, nm0594503"
Major,"Action,Biography,Drama, nm3414188, nm3481620"
Make Way for Tomorrow,"Drama,Romance, nm0602005, nm0564970"
Malcolm X,"Biography,Drama,History, nm0000243"
Malik,"Action,Biography,Drama, nm1335704, nm3525879"
Mamma Roma,"Drama, nm0307909, nm0001596"
Man on Fire,"Action,Crime,Drama, nm0000243, nm0001716"
Man on Wire,"Biography,Crime,Documentary, nm1016428"
Manam,"Comedy,Drama,Fantasy, nm0004463, nm1653460"
Manbiki kazoku,"Crime,Drama,Thriller, nm1410940, nm0466153"
Manchester by the Sea,"Drama, nm0000729, nm0518836"
Mandariinid,"Drama,War, nm0880407, nm0882203"
Mandela,"Comedy,Drama, nm6489058, nm5325427"
Manhattan,"Comedy,Drama,Romance, nm0000095"
Manichitrathazhu,"Comedy,Horror,Mystery, nm0482320, nm0269778"
Manjhi: The Mountain Man,"Biography,Drama, nm1596350, nm0576559"
Mankatha,"Action,Crime,Thriller, nm0015001, nm1862815"
Manon des sources,"Drama,Romance, nm0598971, nm0001945"
Manorama: Six Feet Under,"Crime,Drama,Mystery, nm1867717, nm2480204"
Maqbool,"Crime,Drama,Thriller, nm0451234, nm0080235"
Mar adentro,"Biography,Drama, nm0000849, nm0024622"
Maratonci trce pocasni krug,"Comedy,Drama, nm0226699, nm0797672"
Marcel the Shell with Shoes On,"Animation,Comedy,Drama, nm3255797"
Marina Abramovic: The Artist Is Present,"Biography,Documentary,History, nm1128830"
Marley,"Biography,Documentary,Music, nm0531817"
Marmoulak,"Comedy,Drama, nm0660978, nm0846092"
Marriage Story,"Drama,Romance, nm3485845, nm0000876"
Marty,"Drama,Romance, nm0000308, nm0542720"
Mary Poppins,"Comedy,Family,Fantasy, nm0001813, nm0829038"
Mary and Max.,"Animation,Comedy,Drama, nm0000450, nm0254178"
Masaan,"Drama, nm0592799, nm4784536"
Mass,"Drama, nm0005042, nm0469823"
Masumiyet,"Drama, nm0456077, nm0218547"
Match Point,"Drama,Romance,Thriller, nm0001667, nm0000095"
Matewan,"Drama,History, nm0177933, nm0000626"
Maudie,"Biography,Drama,Romance, nm0000160, nm0909532"
Maurice,"Drama,Romance, nm0928134, nm0412465"
Mavi Boncuk,"Comedy,Crime,Drama, nm0015081, nm0251027"
Maya Bazaar,"Comedy,Drama, nm0004417, nm0714762"
McCabe & Mrs. Miller,"Drama,Western, nm0000886, nm0000265"
McQueen,"Biography,Documentary, nm0094524"
Me and Earl and the Dying Girl,"Comedy,Drama,Romance, nm3287038, nm0004234"
Medena zemja,"Documentary,Drama, nm9393813"
Medianeras,"Comedy,Drama, nm1404059, nm1391924"
Meelo Okadu,"Drama,Family, nm13781498"
Meet John Doe,"Comedy,Drama,Romance, nm0000011, nm0001008"
Meet Me in St. Louis,"Comedy,Drama,Family, nm0591486"
Memento,"Mystery,Thriller, nm0001602, nm0634240"
Memories,"Mystery,Thriller, nm1335387, nm2572228"
Memorîzu,"Animation,Sci-Fi,Thriller, nm4761131, nm0605479"
Menace II Society,"Crime,Drama,Thriller, nm0877928, nm0400436"
Mephisto,"Drama, nm0001970, nm0843640"
Merku Thodarchi Malai,"Drama, nm9512709, nm6138551"
Mersal,"Action,Thriller, nm0897201, nm5961051"
Meru,"Documentary,Sport, nm1888091"
Metal: A Headbanger's Journey,"Documentary,Music, nm0242757"
Metallica & San Francisco Symphony - S&M2,"Music, nm0410864"
Metallica: Some Kind of Monster,"Documentary,Music, nm0075666"
Methagu,"Biography,History, nm12712208, nm12696871"
Metri shesh va nim,"Action,Crime,Drama, nm1818216, nm7920254"
Metro Manila,"Crime,Drama, nm2276276, nm1193346"
Metropolis,"Drama,Sci-Fi, nm0002154, nm0000485"
Mi nismo andjeli,"Comedy,Fantasy,Romance, nm0463649, nm0236729"
Mia aioniotita kai mia mera,"Drama, nm0004486, nm0000766"
Microcosmos: Le peuple de l'herbe,"Documentary, nm0674742, nm0638175"
Midnight Cowboy,"Drama, nm0000163, nm0772259"
Midnight Express,"Biography,Crime,Drama, nm0001113, nm0000570"
Midnight Run,"Action,Comedy,Crime, nm0000134, nm0000976"
Midnight in Paris,"Comedy,Fantasy,Romance, nm0005562, nm0000095"
Mies vailla menneisyyttä,"Comedy,Drama,Romance, nm0671326, nm0442454"
Mihai Viteazul,"Action,Biography,Drama, nm0670946, nm0630197"
Mikra Anglia,"Drama,Romance, nm0176141, nm0903837"
Mildred Pierce,"Crime,Drama,Film-Noir, nm0007217, nm0002031"
Milk,"Biography,Comedy,Crime, nm0000576, nm0001814"
Miller's Crossing,"Crime,Drama,Thriller, nm0000321, nm0001054"
Million Dollar Baby,"Drama,Sport, nm0000142"
Milyang,"Drama, nm0814280, nm0496969"
Mimi,"Comedy,Drama, nm2690647, nm5292337"
Mimi wo sumaseba,"Animation,Drama,Family, nm1534063, nm0464911"
Mimino,"Comedy,Drama, nm0452795, nm0199381"
Mind Game,"Adventure,Animation,Comedy, nm1105416, nm1482702"
Minnal Murali,"Action,Comedy,Drama, nm5732707, nm7243877"
Minority Report,"Action,Crime,Mystery, nm0000129, nm0000229"
Miracle on 34th Street,"Comedy,Drama,Family, nm0350324, nm0780833"
Miracolo a Milano,"Comedy,Drama,Fantasy, nm0326524, nm0001120"
Mis,"Comedy, nm0878957, nm0054402"
Misery,"Drama,Thriller, nm0001001, nm0001661"
Mishima: A Life in Four Chapters,"Biography,Drama, nm0644523, nm0001707"
Miss Lovely,"Crime,Drama,Romance, nm1596350, nm1201747"
Miss Sloane,"Drama, nm0835016, nm0006960"
Missing,"Biography,Drama,History, nm0000493, nm0002020"
Missing: Search vs Revenge,"Mystery,Thriller, nm10273281, nm11966453"
Mission Majnu,"Action,Drama,History, nm3289096, nm7424077"
Mission: Impossible - Fallout,"Action,Adventure,Thriller, nm0000129, nm0003160"
Mississippi Burning,"Crime,Drama,Mystery, nm0000432, nm0000570"
Mister Roberts,"Comedy,Drama,War, nm0000020, nm0000406"
Mitt liv som hund,"Comedy,Drama, nm0321764, nm0002120"
Miyamoto Musashi kanketsuhen: kettô Ganryûjima,"Action,Adventure,Drama, nm0001536, nm0408348"
Moana,"Adventure,Animation,Comedy, nm0425005, nm0166256"
Moartea domnului Lazarescu,"Comedy,Drama, nm0025557, nm1090998"
Modern Times,"Comedy,Drama,Romance, nm0000122"
Mommy,"Drama, nm4608165, nm0230859"
Mon oncle,"Comedy, nm0004244"
Mon oncle d'Amérique,"Comedy,Drama,Romance, nm0000367, nm0720297"
Moneyball,"Biography,Drama,Sport, nm0000093, nm0587955"
Mononoke-hime,"Action,Adventure,Animation, nm0559444, nm0594503"
Monpura,"Crime,Drama,Musical, nm4413266, nm14019476"
Monsieur Hire,"Crime,Drama,Romance, nm0003508, nm0496312"
Monsieur Lazhar,"Comedy,Drama, nm0271408, nm0265852"
Monsieur Verdoux,"Comedy,Crime,Drama, nm0000122"
"Monsters, Inc.","Adventure,Animation,Comedy, nm0000345, nm0230032"
"Montevideo, Bog te video!","Adventure,Comedy,Drama, nm2161450, nm0081449"
"Montevideo, vidimo se!","Adventure,Biography,Comedy, nm2161450, nm0081449"
Monty Python Live at the Hollywood Bowl,"Comedy,Documentary,Musical, nm0000092, nm0400958"
Monty Python and the Holy Grail,"Adventure,Comedy,Fantasy, nm0001037, nm0001402"
Moon,"Drama,Mystery,Sci-Fi, nm0005377, nm1512910"
Moonage Daydream,"Documentary,Music, nm0605137"
Moondram Pirai,"Drama,Romance, nm0352032, nm0536818"
Moonrise Kingdom,"Comedy,Drama,Family, nm4442068, nm0027572"
Morometii,"Drama, nm0714287, nm0347720"
Moskva slezam ne verit,"Comedy,Drama,Romance, nm0060692, nm0579828"
Mosul,"Documentary,War, nm0040534, nm6213280"
Mother India,"Action,Comedy,Drama, nm0004570, nm0006371"
Mou gaan dou,"Action,Crime,Drama, nm0490489, nm0490487"
Mouchette,"Drama, nm0346903, nm0000975"
Moulin Rouge!,"Drama,Musical,Romance, nm0000191, nm0525303"
Mr. Church,"Comedy,Drama, nm0000552, nm0000915"
Mr. Deeds Goes to Town,"Comedy,Drama,Romance, nm0000011, nm0001008"
Mr. India,"Action,Comedy,Drama, nm0438463, nm0001408"
Mr. Klein,"Crime,Drama,Mystery, nm0001128, nm0521334"
Mr. Nobody,"Drama,Fantasy,Romance, nm0001467, nm0233757"
Mr. Skeffington,"Drama,Music,Romance, nm0001647, nm0792605"
Mr. Smith Goes to Washington,"Comedy,Drama, nm0000071, nm0001008"
Mrs. Miniver,"Drama,Romance,War, nm0682074, nm0943758"
Mrtav 'ladan,"Comedy,Drama, nm0229314, nm1098726"
Mucize,"Drama, nm0120270"
Mudhalvan,"Action,Drama,Thriller, nm0035018, nm0788171"
Mughal-E-Azam,"Drama,Romance,War, nm0004432, nm0039339"
Muhsin Bey,"Comedy,Drama,Music, nm0784038, nm0877078"
"Mujeres al borde de un ataque de ""nervios""","Comedy,Drama, nm0000104, nm0000264"
Mukkabaaz,"Action,Drama,Sport, nm1277547, nm0440604"
Mulan,"Adventure,Animation,Comedy, nm0000552, nm0051643"
Mulholland Dr.,"Drama,Mystery,Thriller, nm0857620, nm0000186"
Mumbai Meri Jaan,"Drama, nm0712546, nm1723225"
Mumbai Police,"Crime,Mystery,Thriller, nm1335387, nm1754432"
Munich,"Action,Drama,History, nm0051509, nm0000229"
Munje!,"Comedy, nm0587523, nm0028968"
Munna Bhai M.B.B.S.,"Comedy,Drama, nm0004569, nm0386246"
"Murder, My Sweet","Crime,Drama,Film-Noir, nm0694090, nm0229424"
Murderball,"Documentary,Sport, nm0748066"
Mustafa Hakkinda Hersey,"Drama,Thriller, nm1625479, nm1463981"
Mustang,"Drama, nm2197025"
Mutiny on the Bounty,"Adventure,Biography,Drama, nm0001452, nm0515979"
Mutluluk,"Drama, nm0120270, nm1283973"
My Cousin Vinny,"Comedy,Crime, nm0000582, nm0528718"
My Darling Clementine,"Drama,Romance,Western, nm0000020, nm0000406"
My Dinner with Andre,"Comedy,Drama, nm0339737, nm0001501"
My Fair Lady,"Drama,Family,Musical, nm0001322, nm0002030"
My Hero Academia - Boku no hîrô akademia THE MOVIE - Heroes: Rising - Hîrôzu: Raijingu,"Action,Adventure,Animation, nm5693918, nm2568279"
My Left Foot: The Story of Christy Brown,"Biography,Drama, nm0000358, nm0006487"
My Man Godfrey,"Comedy,Drama,Romance, nm0001635, nm0478441"
My Name Is Joe,"Drama,Romance, nm0611932, nm0516360"
My Name Is Khan,"Adventure,Drama,Romance, nm0451321, nm0424103"
My Octopus Teacher,"Documentary, nm11813828"
Mysterious Skin,"Drama, nm1227232, nm0000777"
Mystery Train,"Comedy,Crime,Drama, nm0619185, nm0000464"
Mystic River,"Crime,Drama,Mystery, nm0000576, nm0000142"
Män som hatar kvinnor,"Crime,Drama,Mystery, nm0638824, nm0649117"
Müslüm,"Biography,Drama,Music, nm1731801, nm3773770"
"Na xie nian, wo men yi qi zhui de nu hai","Comedy,Drama,Romance, nm4584685, nm3321182"
Naalo Ninnu Dachaane,"Romance, nm13592129, nm13592132"
Nadodikkattu,"Comedy, nm0482320, nm0030791"
Naduvula Konjam Pakkatha Kaanom,"Comedy,Drama, nm4043111, nm5409154"
Nae meorisokui jiwoogae,"Drama,Romance, nm0432601, nm0497565"
Nagara Haavu,"Drama,Musical, nm0024259, nm0437031"
Naked,"Comedy,Drama, nm0000667, nm0005139"
Namuslu,"Comedy,Drama, nm0784038, nm0251027"
Nanban,"Comedy,Drama, nm0897201, nm0788171"
Nanjing! Nanjing!,"Drama,History,War, nm1091782, nm1283651"
Nannaku Prematho,"Action,Drama,Thriller, nm1694524, nm1335875"
Nanook of the North,"Documentary, nm1354245, nm0280904"
Napoléon vu par Abel Gance,"Biography,Drama,History, nm0226387, nm0304098"
Narayama bushikô,"Drama, nm0644523, nm0408076"
Nashville,"Comedy,Drama,Music, nm0001018, nm0000265"
National Lampoon's Christmas Vacation,"Comedy, nm0000331, nm0154819"
National Theatre Live: Frankenstein,"Drama,Sci-Fi, nm0001538, nm0000965"
National Theatre Live: Prima Facie,"Drama, nm7557471"
Natsamrat,"Drama,Family, nm0007113, nm0542498"
Nattvardsgästerna,"Drama, nm0085038, nm0000005"
Navalny,"Biography,Documentary, nm4173215"
Nayak: The Real Hero,"Action,Drama,Thriller, nm0438463, nm0788171"
Nayakan,"Crime,Drama, nm0352032, nm0711745"
Nayattu,"Crime,Thriller, nm0090283, nm3964043"
Nazarín,"Drama, nm0704719, nm0000320"
Ne le dis à personne,"Crime,Drama,Mystery, nm0167388, nm0133899"
Nebraska,"Drama, nm0001136, nm0668247"
Neerja,"Biography,Drama,Thriller, nm0863171, nm0534879"
Nefes: Vatan Sagolsun,"Action,Drama,Thriller, nm1759049, nm2896395"
Nelyubov,"Drama, nm3729612, nm1168657"
Nema-ye Nazdik,"Biography,Crime,Drama, nm0452102"
Nerkonda Paarvai,"Action,Crime,Drama, nm0015001, nm6474441"
Neseli Günler,"Comedy,Drama,Family, nm0654805, nm0015570"
Network,"Drama, nm0000034, nm0001486"
Never Cry Wolf,"Adventure,Drama, nm0001747, nm0050597"
Newton,"Comedy,Drama, nm3822770, nm3536895"
Night and the City,"Crime,Film-Noir,Mystery, nm0001847, nm0202088"
Night of the Living Dead,"Horror,Thriller, nm0427977, nm0001681"
Night on Earth,"Comedy,Drama, nm0778804, nm0000464"
Nightcrawler,"Crime,Drama,Thriller, nm0350453, nm0319659"
Nightmare Alley,"Drama,Film-Noir, nm0000061, nm0332539"
Niku Naku Pellanta Tom Tom Tom,"Comedy,Drama,Romance, nm10538044, nm10106504"
Nil Battey Sannata,"Drama,Family, nm2690647, nm6436658"
Ningen no jôken,"Drama,History,War, nm0619938, nm0462030"
Ninotchka,"Comedy,Romance, nm0002048, nm0523932"
Nirgendwo in Afrika,"Biography,Drama,History, nm0632457, nm0512862"
Nirvana: Live at the Paramount,"Documentary,Music, nm0705044"
No Country for Old Men,"Crime,Drama,Thriller, nm0000169, nm0001053"
No End in Sight,"Documentary,War, nm0001714, nm2480587"
No Man's Land,"Comedy,Drama,War, nm0229301, nm0849786"
No se aceptan devoluciones,"Comedy,Drama, nm0220240"
Nocturnal Animals,"Drama,Thriller, nm0350453, nm1053530"
Noises Off...,"Comedy, nm0000323, nm0000953"
Non ci resta che piangere,"Comedy,Fantasy, nm0873385"
Nora inu,"Crime,Drama,Film-Noir, nm0001536, nm0000041"
North by Northwest,"Action,Adventure,Mystery, nm0000026, nm0000033"
"Nosferatu, eine Symphonie des Grauens","Fantasy,Horror, nm0775180, nm0003638"
Nostalghia,"Drama, nm0946160, nm0001789"
Notorious,"Drama,Film-Noir,Romance, nm0000026, nm0000033"
Novecento,"Drama,History, nm0000134, nm0000934"
"Now, Voyager","Drama,Romance, nm0002134, nm0710924"
Nueve reinas,"Crime,Drama,Thriller, nm0201857, nm0081433"
Nunta muta,"Comedy,Drama,History, nm2308578, nm0538855"
Nuovo Cinema Paradiso,"Drama,Romance, nm0634159, nm0868153"
Nuvve Naa Pranam,"Drama,Family, nm2486661, nm14402322"
Nuvvu Naaku Nachchav,"Comedy,Romance, nm0893142, nm0080278"
O Auto da Compadecida,"Comedy,Drama,Fantasy, nm0618690, nm0037136"
"O Brother, Where Art Thou?","Adventure,Comedy,Crime, nm0000123, nm0001054"
O Homem Que Copiava,"Comedy,Crime,Drama, nm0708698, nm0299134"
O Lucky Man!,"Comedy,Drama,Fantasy, nm0000532, nm0000755"
O Menino e o Mundo,"Adventure,Animation,Family, nm6457440, nm0994245"
O chyom govoryat muzhchiny,"Comedy, nm2948393, nm2979103"
O-jik geu-dae-man,"Action,Drama,Romance, nm1234414, nm0814271"
O.J.: Made in America,"Biography,Crime,Documentary, nm1554601"
OMG: Oh My God!,"Comedy,Drama,Fantasy, nm0712546, nm1084488"
Oasiseu,"Drama,Romance, nm0812555, nm0496969"
Obchod na korze,"Drama,War, nm0472166, nm0434443"
Ocean's Eleven,"Crime,Thriller, nm0000123, nm0001752"
October,"Drama,Romance, nm3315894, nm1999473"
October Sky,"Biography,Drama,Family, nm0350453, nm0002653"
Océans,"Documentary, nm0000112, nm0167384"
Odd Man Out,"Crime,Drama,Film-Noir, nm0000051, nm0715346"
Of Mice and Men,"Adventure,Drama, nm0001033, nm0587277"
Of Mice and Men,"Drama,Western, nm0000518"
Office Space,"Comedy, nm0515296, nm0431918"
Offret,"Drama, nm0430746, nm0001789"
Oggatonama,"Drama, nm3913843, nm2609716"
Ohayô,"Comedy,Drama,Family, nm0755401, nm0654868"
Okkadu,"Action,Drama,Romance, nm1121870, nm0348015"
Okuribito,"Drama, nm0609403, nm0847690"
Oldeuboi,"Action,Drama,Mystery, nm0158856, nm0661791"
Oliver Twist,"Drama, nm0628579, nm0000180"
Om,"Action,Crime,Drama, nm3462447, nm1962192"
Omar,"Crime,Drama,Romance, nm4682935, nm0009463"
Omaret yakobean,"Drama, nm0408054, nm1441566"
Omkara,"Action,Crime,Drama, nm0222426, nm0080235"
Omohide poro poro,"Animation,Drama,Romance, nm0945839, nm0847223"
Omoide no Marnie,"Animation,Drama,Family, nm0855398, nm0948488"
On Golden Pond,"Drama, nm0000020, nm0041932"
On the Waterfront,"Crime,Drama,Thriller, nm0000008, nm0001415"
Once,"Drama,Music,Romance, nm0360598, nm0138809"
Once Upon a Time in America,"Crime,Drama, nm0000134, nm0001466"
Once Upon a Time in Hollywood,"Comedy,Drama, nm0000138, nm0000233"
Once Were Warriors,"Crime,Drama, nm0607325, nm0848414"
Ondskan,"Drama, nm1270590, nm0405632"
One Day in September,"Documentary,History,Sport, nm0531817"
One Flew Over the Cuckoo's Nest,"Drama, nm0000197, nm0001232"
One Piece Film Z,"Action,Adventure,Animation, nm0620017, nm0619110"
One Piece: Stampede,"Action,Adventure,Animation, nm1364905, nm2445201"
One by Two,"Drama,Romance,Thriller, nm12810245, nm12276991"
"One, Two, Three","Comedy, nm0000010, nm0000697"
Onibaba,"Drama,Horror,Thriller, nm0766225, nm0793881"
Only Angels Have Wings,"Adventure,Drama,Romance, nm0000026, nm0001328"
Only the Brave,"Action,Biography,Drama, nm0000982, nm2676052"
Opasen char,"Comedy,Thriller, nm0464060, nm0027974"
Opening Night,"Drama, nm0001023"
Operation Odessa,"Crime,Documentary, nm1183164"
Operatiunea 'Monstrul',"Comedy, nm0135908, nm0546149"
Operatsiya 'Y' i drugie priklyucheniya Shurika,"Comedy,Crime,Drama, nm0218849, nm0301145"
Ordet,"Drama, nm0539047, nm0003433"
Ordinary People,"Drama, nm0000661, nm0000602"
Orkestar bez ime,"Comedy,Drama,Music, nm0477440, nm0456699"
Orphée,"Drama,Fantasy,Romance, nm0544786, nm0168413"
Oru CBI Diary Kurippu,"Mystery,Thriller, nm0007123, nm0534869"
Oru Vadakkan Veeragatha,"Drama,History, nm0007123, nm0363030"
Oscar,"Comedy, nm0000086, nm0596850"
"Oslo, 31. august","Drama, nm0509264, nm1258686"
Ossessione,"Crime,Drama,Romance, nm0320988, nm0899581"
Ostre sledované vlaky,"Comedy,Drama,Romance, nm0623948, nm0579954"
